0:35:55,0:27:34,-23.2%
0:18:14,0:16:02,-12.1%
0:20:19,0:15:59,-21.3%
0:46:02,0:34:36,-24.8%
0:04:08,0:04:02,-2.4%
0:22:41,0:27:50,22.7%
0:05:53,0:07:41,30.6%
0:05:14,0:06:53,31.5%
0:08:59,0:05:52,-34.7%
0:04:56,0:04:41,-5.1%
0:20:40,0:17:56,-13.2%
0:18:15,0:15:41,-14.1%
